http://aa.usno.navy.mil/data/docs/RS_OneYear.php

2016

       Jan.       Feb.       Mar.       Apr.       May        June       July       Aug.       Sept.      Oct.       Nov.       Dec.  
Day Rise  Set  Rise  Set  Rise  Set  Rise  Set  Rise  Set  Rise  Set  Rise  Set  Rise  Set  Rise  Set  Rise  Set  Rise  Set  Rise  Set
     h m  h m   h m  h m   h m  h m   h m  h m   h m  h m   h m  h m   h m  h m   h m  h m   h m  h m   h m  h m   h m  h m   h m  h m
01  0747 1645  0730 1722  0648 1802  0553 1840  0503 1916  0432 1949  0434 1959  0501 1936  0536 1847  0611 1752  0650 1702  0728 1635
02  0747 1646  0729 1724  0647 1803  0551 1841  0502 1918  0432 1950  0434 1959  0502 1934  0537 1845  0612 1750  0651 1700  0729 1635
03  0747 1646  0728 1725  0645 1804  0549 1843  0500 1919  0431 1951  0435 1958  0503 1933  0539 1844  0613 1748  0652 1659  0730 1635
04  0747 1647  0727 1726  0643 1805  0547 1844  0459 1920  0431 1951  0435 1958  0504 1932  0540 1842  0614 1747  0654 1658  0731 1635
05  0747 1648  0726 1728  0641 1807  0545 1845  0458 1921  0430 1952  0436 1958  0506 1930  0541 1840  0616 1745  0655 1656  0732 1634
06  0747 1649  0724 1729  0640 1808  0544 1846  0456 1922  0430 1953  0437 1957  0507 1929  0542 1838  0617 1743  0656 1655  0733 1634
07  0747 1650  0723 1730  0638 1809  0542 1848  0455 1924  0430 1953  0437 1957  0508 1928  0543 1836  0618 1741  0658 1654  0734 1634
08  0747 1652  0722 1732  0636 1811  0540 1849  0454 1925  0430 1954  0438 1957  0509 1926  0544 1835  0619 1740  0659 1653  0735 1634
09  0747 1653  0720 1733  0634 1812  0538 1850  0452 1926  0429 1955  0439 1956  0510 1925  0545 1833  0620 1738  0700 1652  0736 1634
10  0746 1654  0719 1735  0633 1813  0537 1851  0451 1927  0429 1955  0440 1956  0511 1923  0547 1831  0622 1736  0702 1651  0737 1634
11  0746 1655  0718 1736  0631 1814  0535 1852  0450 1928  0429 1956  0441 1955  0512 1922  0548 1829  0623 1734  0703 1649  0738 1634
12  0746 1656  0716 1737  0629 1816  0533 1854  0449 1929  0429 1956  0441 1954  0513 1920  0549 1827  0624 1733  0704 1648  0739 1634
13  0745 1657  0715 1739  0627 1817  0531 1855  0448 1930  0429 1957  0442 1954  0515 1919  0550 1825  0625 1731  0706 1647  0739 1634
14  0745 1658  0714 1740  0625 1818  0530 1856  0447 1932  0429 1957  0443 1953  0516 1917  0551 1823  0627 1729  0707 1646  0740 1635
15  0744 1700  0712 1742  0624 1819  0528 1857  0446 1933  0429 1957  0444 1952  0517 1916  0552 1822  0628 1728  0708 1645  0741 1635
16  0744 1701  0711 1743  0622 1821  0526 1858  0445 1934  0429 1958  0445 1952  0518 1914  0553 1820  0629 1726  0710 1645  0741 1635
17  0743 1702  0709 1744  0620 1822  0525 1900  0444 1935  0429 1958  0446 1951  0519 1913  0555 1818  0630 1724  0711 1644  0742 1636
18  0743 1703  0708 1746  0618 1823  0523 1901  0443 1936  0429 1958  0447 1950  0520 1911  0556 1816  0632 1723  0712 1643  0743 1636
19  0742 1705  0706 1747  0616 1824  0521 1902  0442 1937  0429 1959  0448 1949  0521 1909  0557 1814  0633 1721  0713 1642  0743 1636
20  0741 1706  0705 1748  0614 1826  0520 1903  0441 1938  0429 1959  0449 1948  0523 1908  0558 1812  0634 1719  0715 1641  0744 1637
21  0740 1707  0703 1750  0613 1827  0518 1904  0440 1939  0430 1959  0450 1948  0524 1906  0559 1810  0635 1718  0716 1641  0744 1637
22  0740 1709  0701 1751  0611 1828  0517 1906  0439 1940  0430 1959  0451 1947  0525 1904  0600 1809  0637 1716  0717 1640  0745 1638
23  0739 1710  0700 1752  0609 1829  0515 1907  0438 1941  0430 1959  0452 1946  0526 1903  0601 1807  0638 1715  0719 1639  0745 1638
24  0738 1711  0658 1754  0607 1830  0513 1908  0437 1942  0430 1959  0453 1945  0527 1901  0603 1805  0639 1713  0720 1639  0746 1639
25  0737 1713  0657 1755  0605 1832  0512 1909  0436 1943  0431 2000  0454 1944  0528 1859  0604 1803  0641 1712  0721 1638  0746 1640
26  0736 1714  0655 1756  0604 1833  0510 1911  0436 1944  0431 2000  0455 1943  0529 1858  0605 1801  0642 1710  0722 1637  0746 1640
27  0735 1715  0653 1758  0602 1834  0509 1912  0435 1945  0432 1959  0456 1941  0531 1856  0606 1759  0643 1709  0723 1637  0747 1641
28  0734 1717  0652 1759  0600 1835  0507 1913  0434 1946  0432 1959  0457 1940  0532 1854  0607 1758  0645 1707  0725 1636  0747 1642
29  0733 1718  0650 1800  0558 1837  0506 1914  0434 1947  0433 1959  0458 1939  0533 1852  0608 1756  0646 1706  0726 1636  0747 1643
30  0732 1719   NA   NA   0556 1838  0504 1915  0433 1947  0433 1959  0459 1938  0534 1851  0610 1754  0647 1704  0727 1636  0747 1644
31  0731 1721   NA   NA   0554 1839   NA   NA   0433 1948   NA   NA   0500 1937  0535 1849   NA   NA   0648 1703   NA   NA   0747 1644
